year,id,pref_jp,pref_en,a_len,pop,im_rate,em_rate,did,treat,income,cult,college,jcollege,spec,hedu,gexp,start,gap,pre11,pre10,pre9,pre8,pre7,pre6,pre5,pre4,pre3,pre2,pre1,current,post1,post2,post3,post4,post5,post6,post7,post8,post9
2005,1,北 海 道,Hokkaido,500.8,563,0.97,1.23,0,1,2577,197773.6,0.59,0.39,3.27,4.25,1000.2,2016,-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,青 森 県,Aomori-ken,99.7,144,1.53,2.03,0,1,2184,25849.6,0.63,0.42,2.51,3.56,989,2010,-5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,岩 手 県,Iwate-ken,265.9,139,1.43,1.85,0,0,2363,18191.8,0.36,0.43,2.74,3.53,967,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,宮 城 県,Miyagi-ken,133.3,236,2.19,2.35,0,0,2620,17725.3,0.59,0.25,3.01,3.85,733.3,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,秋 田 県,Akita-ken,168.2,115,1.26,1.68,0,0,2295,21138.9,0.44,0.7,2.71,3.85,1068.8,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,6,山 形 県,Yamagata-ken,137.6,122,1.3,1.65,0,0,2427,20286.8,0.33,0.25,1.89,2.47,888.1,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,福 島 県,Fukushima-ken,334.4,209,1.39,1.7,0,0,2728,14671.1,0.38,0.24,2.73,3.35,802.1,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,8,茨 城 県,Ibaraki-ken,162.8,298,1.79,1.91,0,0,2838,15442.5,0.27,0.27,2.18,2.72,675.6,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,9,栃 木 県,Tochigi-ken,133.7,202,1.82,1.83,0,0,3101,18189.2,0.45,0.4,3.22,4.07,738.9,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,10,群 馬 県,Gumma-ken,158.5,202,1.51,1.59,0,0,2859,12554.6,0.69,0.59,3.46,4.74,734,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,11,埼 玉 県,Saitama-ken,136.1,705,2.35,2.36,0,0,2955,10697.2,0.38,0.21,1.56,2.15,500,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,12,千 葉 県,Chiba-ken,117,606,2.68,2.58,0,0,3000,16259.7,0.43,0.28,1.82,2.53,541.7,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,13,東 京 都,Tokyo-to,48.9,1258,3.48,2.8,0,0,4778,6087.6,0.98,0.51,3.65,5.14,829.3,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,14,神奈川県,Kanagawa-ken,60.7,879,2.71,2.45,0,0,3204,7108.9,0.3,0.28,1.36,1.94,532.5,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,15,新 潟 県,Niigata-ken,408.3,243,1.12,1.35,0,1,2772,16624.7,0.62,0.25,3.13,4,973.5,2015,-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,16,富 山 県,Toyama-ken,133.4,111,1.34,1.44,0,1,3097,15130.9,0.54,0.36,3.15,4.05,895.4,2015,-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,17,石 川 県,Ishikawa-ken,66.9,117,1.58,1.81,0,1,2852,14059.1,0.94,0.51,3.24,4.69,890.8,2015,-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,18,福 井 県,Fukui-ken,108.6,82,1.25,1.5,0,0,2869,12026.5,0.49,0.24,3.16,3.89,1065,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,19,山 梨 県,Yamanashi-ken,136.6,88,1.64,1.82,0,0,2729,6520.5,1.02,0.57,2.71,4.3,956,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,20,長 野 県,Nagano-ken,311.9,220,1.45,1.65,0,1,2838,8955,0.32,0.5,2.69,3.51,825.5,2015,-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,21,岐 阜 県,Gifu-ken,209.4,211,1.47,1.64,0,0,2794,7532.6,0.52,0.47,2.04,3.03,741.7,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,22,静 岡 県,Shizuoka-ken,153.3,379,1.68,1.72,0,0,3344,9789.1,0.37,0.21,2.64,3.22,625.8,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,23,愛 知 県,Aichi-ken,178.9,725,1.78,1.52,0,0,3524,9155.7,0.68,0.44,2.66,3.78,639.4,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,24,三 重 県,Mie-ken,138.9,187,1.68,1.72,0,0,3068,10603.5,0.37,0.21,2.62,3.2,730.6,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,25,滋 賀 県,Shiga-ken,118.8,138,2.13,2.01,0,0,3275,12591.4,0.51,0.29,1.88,2.68,730.8,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,26,京 都 府,Kyoto-fu,55.3,265,2.26,2.35,0,0,2895,8478.5,1.13,0.68,2.49,4.3,748.9,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,27,大 阪 府,Osaka-fu,115.7,882,1.89,1.99,0,0,3048,5198.4,0.59,0.48,2.84,3.91,708.4,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,28,兵 庫 県,Hyogo-ken,258.1,559,1.86,1.85,0,0,2731,7362.6,0.68,0.41,1.82,2.91,958.6,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,29,奈 良 県,Nara-ken,18.2,142,1.98,2.33,0,0,2654,7615.1,0.7,0.56,2.96,4.22,697.4,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,30,和歌山県,Wakayama-ken,55.7,104,1.3,1.65,0,0,2708,10128.4,0.29,0.19,1.93,2.41,925.4,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,31,鳥 取 県,Tottori-ken,26.8,61,1.77,2.06,0,0,2308,10180.4,0.33,0.16,3.79,4.28,1105,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,32,島 根 県,Shimane-ken,85.2,74,1.61,1.94,0,0,2453,8914.1,0.27,0.27,2.83,3.37,1338.5,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,33,岡 山 県,Okayama-ken,289.2,196,1.66,1.74,0,0,2653,8681.2,0.77,0.56,2.91,4.24,813,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,34,広 島 県,Hiroshima-ken,239.5,288,1.94,2.01,0,0,3038,8172.1,0.73,0.31,3.16,4.2,773.1,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,35,山 口 県,Yamaguchi-ken,257,149,1.84,2.09,0,0,3001,10296.5,0.6,0.4,2.61,3.61,902.7,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,36,徳 島 県,Tokushima-ken,104.7,81,1.4,1.68,0,0,2757,8355.9,0.49,0.37,2.84,3.7,1095.3,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,37,香 川 県,Kagawa-ken,86.7,101,2.05,2.21,0,0,2616,6972.5,0.4,0.49,2.47,3.36,856.3,,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
